FeatureID	Covariate	Log2(FC)	SE	W	pvalue	qvalue	Signif
Flavobacterium	Intercept	0.24427554233211346	0.23067898225975772	1.0589414776290509	0.2896264328934016	1.0	False
Flavobacterium	condition[T.pre-drought]	0.5238178145422444	0.3760607594446291	1.3929073996335717	0.16364779452358813	1.0	False
GMQP-bins7	Intercept	0.182828064081745	0.25361172600425824	0.7208975190629603	0.4709725693949337	1.0	False
GMQP-bins7	condition[T.pre-drought]	-0.39460427206653165	0.28747597422853916	-1.3726513080805391	0.1698607731748275	1.0	False
Geopseudomonas	Intercept	0.055588702705572146	0.25240433957963454	0.22023671541524228	0.8256868037606537	1.0	False
Geopseudomonas	condition[T.pre-drought]	1.0047527562330103	0.5123961781224917	1.9608904186494878	0.04989180725978981	1.0	False
Gp6-AA40	Intercept	4.46993046279174	0.5385670581643232	8.299672984135453	1.0439835727934201e-16	7.82987679595065e-15	True
Gp6-AA40	condition[T.pre-drought]	0.74284657232091	0.7392582180446166	1.004853993082126	0.31496716052721496	1.0	False
JAABQT01	Intercept	1.452753279742086	0.3969612059371397	3.6596857778896785	0.00025252471144646257	0.015404007398234217	True
JAABQT01	condition[T.pre-drought]	0.02306654035849856	0.6022859014778148	0.038298323606613956	0.969449827375452	1.0	False
JACZVU01	Intercept	0.1853064034695322	0.25256615697122664	0.7336945127238209	0.4631349435785901	1.0	False
JACZVU01	condition[T.pre-drought]	-0.1768569011421331	0.3558903347693909	-0.49694213038050744	0.6192298606705375	1.0	False
JAEUMW01	Intercept	0.6392204758854145	0.35388211681929593	1.8063090659419276	0.07087007651915159	1.0	False
JAEUMW01	condition[T.pre-drought]	1.0018143748149206	0.5740272300035616	1.7452384180602456	0.080943376416811	1.0	False
JAGVSZ01	Intercept	0.5358868654479618	0.3548408824633874	1.5102173732849253	0.13098796703008625	1.0	False
JAGVSZ01	condition[T.pre-drought]	0.6876998963512784	0.6334799081666244	1.0855906990666426	0.2776601165465329	1.0	False
JAIBJN01	Intercept	0.5213140393314397	0.2759086564589564	1.8894443038578215	0.05883231913272192	1.0	False
JAIBJN01	condition[T.pre-drought]	-0.7330902473162272	0.30732574721421435	-2.3853850644191015	0.01706125270639463	1.0	False
JAJKIV01	Intercept	0.04727665838305661	0.22920073694140333	0.20626747982552604	0.836581979641624	1.0	False
JAJKIV01	condition[T.pre-drought]	-0.02422240160403904	0.3259182023221164	-0.07432049339821527	0.9407553707511078	1.0	False
JAJVID01	Intercept	3.2624792230117663	0.35326535063310993	9.235208653112636	2.577830990042255e-20	2.010708172232959e-18	True
JAJVID01	condition[T.pre-drought]	-0.050824327185643565	0.4923000267836569	-0.10323852208112616	0.9177736670386696	1.0	False
JAKEFM01	Intercept	0.7595877202989083	0.395389055571819	1.9211146833601107	0.0547172508617242	1.0	False
JAKEFM01	condition[T.pre-drought]	0.0818153369833507	0.6117234103346807	0.1337456366735885	0.8936037164786526	1.0	False
JAOUEA01	Intercept	0.2969886468321459	0.23847582160837266	1.2453616673973076	0.21299883707377432	1.0	False
JAOUEA01	condition[T.pre-drought]	-0.5087648548169325	0.27421569189887207	-1.8553455175882483	0.06354690216054083	1.0	False
JARDZU01	Intercept	4.190691485288253	0.2962681147183825	14.144929127023044	2.007187667127429e-45	1.7462532704008632e-43	True
JARDZU01	condition[T.pre-drought]	-0.4769626168485001	0.39340018561317575	-1.2124107570134448	0.2253551852461434	1.0	False
JAREAF01	Intercept	2.424850346004125	0.353899924114077	6.8517967390761365	7.292813146746565e-12	5.250825465657527e-10	True
JAREAF01	condition[T.pre-drought]	1.3490740911969967	0.4546646678665975	2.9671847991338236	0.0030054026062623774	0.27950244238240113	False
JBEVEP01	Intercept	0.7450631006971111	0.3143525280812395	2.370151451444861	0.017780800065309785	1.0	False
JBEVEP01	condition[T.pre-drought]	0.2203956063991851	0.5066920899076646	0.434969502759256	0.6635845641851403	1.0	False
JBGPEQ01	Intercept	3.1114845581763495	0.3335680725166596	9.32788481433861	1.0800470004185392e-20	8.532371303306459e-19	True
JBGPEQ01	condition[T.pre-drought]	0.36223981225079044	0.482679778933169	0.7504764609187109	0.45296779559535594	1.0	False
JBIOXB01	Intercept	0.1377052350976804	0.22580441413990773	0.6098429723891875	0.5419658322473951	1.0	False
JBIOXB01	condition[T.pre-drought]	0.03285433789807862	0.35869611394147205	0.0915937938024035	0.9270207825512832	1.0	False
Metapseudomonas	Intercept	0.7536653571527658	0.40501043552734556	1.860854168291868	0.0627647735224053	1.0	False
Metapseudomonas	condition[T.pre-drought]	0.4260999695966234	0.6927170016091796	0.6151140633285951	0.538479395215246	1.0	False
Methyloceanibacter	Intercept	6.234358273633443	0.19940876442196298	31.264213946188956	1.4310194994747202e-214	1.3308481345114898e-212	True
Methyloceanibacter	condition[T.pre-drought]	-0.36477970131774945	0.2464608452436764	-1.4800716152583626	0.13885413567195612	1.0	False
