	ATPsynbeta	B''BETA	B'BETA	B'ETA	BETA	BETA-OHASE	BETA-TT1	E1-BETA-2	GGPS	GGPS1	HDG1	Itgbn	OSCPNY1	Octbeta1R	Octbeta3R	PDH-E1	PFP-BETA	PYD3	PolG2	bet	betA	betA1	betB	betB1	betT	betT2	beta'COP	beta-PheRS	beta-Spec	beta-galIII	beta4GalT7	cpb	dj-1beta	ectA	ectB	ectC	ectD	egtUA	flw	gbsA	ggpS	gspD2	gtb1	mtlD	ninaB	norpA	opuBA	opuBB	opuBC	opuD	otsA	otsB	proV	proW	proX	tgo	treS	treY	treZ
SRR24888217	194.8	0.0	0.0	0.0	0.0	0.4	0.0	3.2	32.2	20.0	0.0	0.0	0.4	0.0	0.0	54.8	2.6	5.8	0.0	0.6	139.0	5.0	418.2	11.6	0.2	0.0	2.4	0.2	0.0	1.0	0.2	0.0	2.2	0.4	88.2	1.6	2.2	161.2	0.0	109.8	7.4	25.4	0.0	1.0	0.4	0.0	131.2	16.2	3.4	1.0	83.4	9.0	273.0	8.4	0.4	0.2	177.0	40.0	88.8
SRR24888308	208.0	0.0	0.4	0.0	0.0	0.0	0.2	3.4	37.2	25.6	0.0	0.2	0.8	0.0	0.0	60.0	1.2	4.2	0.0	0.8	169.0	6.8	457.6	6.8	0.8	0.0	3.6	0.0	0.0	2.0	0.0	0.0	2.2	0.4	97.0	0.0	3.4	193.4	0.4	121.6	6.6	27.6	0.0	2.4	0.0	0.0	146.8	17.2	3.8	2.4	82.6	12.4	299.8	7.6	1.2	0.2	173.2	44.8	101.8
SRR24888309	187.8	0.0	0.0	0.0	0.2	0.0	0.0	4.2	36.2	21.8	0.0	0.0	2.4	0.0	0.0	57.8	2.0	6.2	0.0	1.2	158.2	4.2	457.0	9.6	0.4	0.0	4.4	0.4	0.0	0.8	0.2	0.0	1.0	0.4	105.2	1.4	4.0	182.0	0.2	130.4	8.4	29.2	0.0	0.6	0.0	0.0	139.8	14.8	2.6	0.6	79.8	11.6	293.4	8.0	0.4	0.0	162.0	44.4	94.8
SRR24888310	199.8	0.0	0.0	0.0	0.2	0.6	0.0	3.6	40.2	25.4	0.0	0.0	1.6	0.0	0.0	58.0	2.4	3.4	0.2	1.4	173.2	5.6	467.6	8.8	1.2	0.4	2.0	0.0	0.2	1.0	0.0	0.0	2.4	0.4	109.6	0.8	3.4	189.0	0.2	115.4	8.6	33.4	0.0	1.4	0.0	0.0	147.4	18.8	2.2	1.8	84.4	16.0	309.8	7.2	0.2	0.0	163.4	39.8	106.6
SRR24888329	196.0	0.0	0.2	0.0	0.2	0.2	0.0	4.4	39.8	24.0	0.0	0.0	1.4	0.0	0.0	58.0	1.4	4.8	0.0	2.0	166.6	5.4	412.2	10.8	0.2	0.4	4.4	0.2	0.0	1.6	0.2	0.0	0.8	0.0	87.4	1.8	3.2	179.6	0.4	109.0	8.6	31.8	0.0	1.2	0.0	0.0	135.6	15.6	2.4	0.6	92.4	14.0	295.0	8.2	0.2	0.2	179.4	44.4	104.6
SRR24888330	198.9905445764115	0.0	0.0	0.0	0.0	0.0	0.0	1.6863605472577248	35.41357149241222	16.301485290158006	0.0	0.0	1.124240364838483	0.0	0.0	52.277176964989465	2.810600912096208	6.183322006611657	0.0	0.0	141.65428596964887	9.556043101127107	400.2295698825	8.993922918707865	0.0	0.0	1.124240364838483	0.0	0.0	1.124240364838483	0.0	0.0	2.248480729676966	0.5621201824192416	105.11647411239818	1.6863605472577248	2.248480729676966	160.7663721719031	0.5621201824192416	104.55435392997893	7.869682553869382	30.916610033058287	0.0	1.124240364838483	0.0	0.0	149.52396852351825	16.301485290158006	1.124240364838483	1.124240364838483	77.0104649914361	11.804523830804072	262.5101251897858	6.183322006611657	0.0	0.0	165.263333631257	43.84537422870084	114.11039703110603
SRR24888351	195.25236668474486	0.0	0.0	0.0	0.0	0.40010730878021483	0.0	3.400912124631826	38.01019433412041	20.20541909340085	0.0	0.0	2.2005901982911817	0.20005365439010742	0.0	60.41620362581244	1.400375580730752	5.801555977313115	0.0	0.6001609631703223	150.6404017557509	7.602038866824082	438.7176640775056	8.402253484384511	0.8002146175604297	0.20005365439010742	3.6009657790219336	0.0	0.0	1.6004292351208593	0.40010730878021483	0.0	1.8004828895109668	0.20005365439010742	95.82570045286145	1.8004828895109668	3.400912124631826	179.44812798792637	0.0	122.03272917796554	9.202468101944941	25.006706798763428	0.0	0.6001609631703223	0.0	0.0	147.23948963111906	17.80477524071956	2.2005901982911817	1.2003219263406446	79.62135444726276	13.003487535356983	297.87989138687	9.802629065115264	0.8002146175604297	0.40010730878021483	179.44812798792637	48.21293070801589	107.22875875309758
SRR24888352	209.4	0.0	0.0	0.0	0.0	0.0	0.0	5.0	32.6	21.2	0.0	0.0	0.6	0.0	0.2	64.0	1.8	6.2	0.0	1.8	146.4	7.2	440.6	10.2	0.0	0.2	3.4	0.0	0.0	1.8	0.4	0.0	1.6	0.4	97.6	1.6	2.0	163.0	0.2	116.2	7.2	25.2	0.0	0.6	0.4	0.0	126.4	16.4	2.2	1.4	79.0	11.2	292.8	6.8	0.4	0.0	168.6	35.2	89.2
SRR24888478	191.2515614209591	0.0	0.0	0.0	0.0	0.20005393454075218	0.20005393454075218	4.601240494437301	37.61013969366141	25.806957555757034	0.0	0.0	1.4003775417852653	0.0	0.0	64.0172590530407	3.000809018111283	5.0013483635188045	0.0	1.2003236072445131	159.24293189443875	5.801564101681813	449.3211369785294	8.002157381630088	0.20005393454075218	0.20005393454075218	2.4006472144890263	0.40010786908150436	0.0	1.2003236072445131	0.40010786908150436	0.20005393454075218	1.6004314763260175	1.000269672703761	107.22890891384317	1.4003775417852653	3.4009168871927873	185.65005125381802	0.0	115.63117416455476	7.0018877089263265	29.607982312031325	0.0	1.4003775417852653	0.0	0.40010786908150436	137.43705302949675	16.404422632341678	3.200862952652035	1.4003775417852653	86.82340759068646	12.603397876067389	290.4783129531722	8.402265250711592	0.20005393454075218	0.40010786908150436	167.4451432106096	46.21245887891376	102.62766841940588
SRR24888482	199.4	0.0	0.0	0.0	0.0	0.6	0.0	3.6	40.6	23.4	0.0	0.0	1.4	0.0	0.0	52.0	2.2	5.4	0.0	1.2	170.0	5.8	459.0	7.6	0.4	0.2	3.2	0.2	0.0	1.8	0.0	0.0	2.2	0.0	99.2	1.4	3.2	179.4	0.0	121.6	5.4	31.8	0.0	1.6	0.2	0.0	145.6	14.0	2.2	1.0	76.6	10.8	307.8	7.6	0.4	0.2	145.2	39.4	82.4
SRR24888489	191.4	0.0	0.0	0.0	0.2	0.2	0.2	3.0	36.6	24.2	0.0	0.0	1.0	0.0	0.0	51.0	1.2	4.8	0.0	1.2	185.8	6.0	465.0	8.2	0.2	0.0	2.8	0.0	0.0	1.4	0.2	0.0	1.2	0.0	97.2	0.4	2.6	185.8	0.4	119.4	6.2	27.6	0.0	1.4	0.0	0.0	140.8	15.4	2.6	0.6	76.8	12.6	305.4	8.0	0.6	0.2	166.4	39.2	93.2
SRR24888613	184.78803568541258	0.0	0.0	0.0	0.0	0.0	0.0	5.922693451455531	37.905238089315404	25.467581841258788	0.0	0.0	1.1845386902911064	0.0	0.0	58.634665169409764	1.7768080354366595	5.330424106309978	0.0	0.0	178.86534223395705	5.330424106309978	475.5922841518792	10.660848212619957	0.0	0.0	3.553616070873319	0.0	0.5922693451455532	2.3690773805822127	0.5922693451455532	0.0	1.7768080354366595	0.0	91.20947915241518	3.553616070873319	1.7768080354366595	171.75811009221042	0.0	122.5997544451295	4.7381547611644255	41.45885416018872	0.0	2.9613467257277657	0.0	0.0	152.80549104755272	14.80673362863883	4.1458854160188725	0.0	69.88778272717528	15.399002973784382	287.2506323955933	8.291770832037745	0.5922693451455532	0.0	175.31172616308373	53.89651040824534	98.90898063930737
SRR24888614	212.8499771746406	0.20004697102879757	0.0	0.0	0.20004697102879757	0.20004697102879757	0.0	4.000939420575951	34.40807901695318	19.80465013185096	0.0	0.0	0.8001878841151903	0.0	0.0	55.813104917034515	3.200751536460761	5.201221246748736	0.0	0.8001878841151903	179.2420860418026	4.801127304691141	485.71404565792045	12.20286523275665	0.6001409130863926	0.0	3.0007045654319633	0.40009394205759513	0.20004697102879757	2.8006575944031655	0.20004697102879757	0.40009394205759513	1.800422739259178	0.0	96.42264003588042	1.800422739259178	2.600610623374368	182.84293152032097	0.0	117.22752502287537	9.602254609382282	24.005636523455706	0.0	0.6001409130863926	0.0	0.0	144.83400702484943	16.003757682303803	3.0007045654319633	1.800422739259178	72.01690957036712	14.403381914073424	302.8711141375995	8.602019754238295	0.40009394205759513	0.40009394205759513	143.83377216970544	39.809347234730716	86.42029148444054
SRR24888615	208.4	0.0	0.0	0.0	0.2	0.2	0.2	3.2	35.8	18.6	0.0	0.0	2.8	0.0	0.0	50.2	1.4	4.4	0.0	1.2	183.0	6.0	481.0	7.4	0.4	0.0	3.4	0.0	0.0	1.0	0.0	0.0	1.4	0.0	102.6	1.0	4.6	179.0	0.2	118.2	8.6	31.2	0.0	1.4	0.0	0.0	139.0	14.4	2.8	0.8	83.6	11.8	303.2	6.0	1.4	0.0	146.2	39.0	82.0
SRR24888635	186.6	0.0	0.0	0.0	0.0	0.2	0.0	4.6	34.6	24.2	0.0	0.0	1.0	0.0	0.0	58.8	1.2	5.2	0.0	0.8	144.6	6.4	414.4	7.4	0.4	0.2	5.4	0.2	0.0	1.6	0.2	0.0	1.2	0.0	105.6	0.4	4.0	185.4	0.0	109.4	7.4	23.0	0.0	1.0	0.0	0.0	137.2	16.0	1.8	2.2	88.2	10.4	290.4	8.6	0.4	0.0	166.4	44.4	93.8
