species	pre	drought	log2FC	p	q_BH	cliffs_delta	cliffs_mag
Gp6-AA40 sp035710305	4.646922222222222	3.951690476190476	-0.2337509407710192	0.5592959096578762	0.7822024002967818	-0.10846560846560846	negligible
SHXO01 sp036554965	0.1624888888888888	0.1003142857142857	-0.6903549757363852	0.5606537435653234	0.7822024002967818	-0.06613756613756613	negligible
JBEVEP01 sp040512755	0.2265666666666667	0.1312857142857142	-0.7826319797290785	0.5693995818015328	0.7880490212133214	-0.08465608465608465	negligible
SCGC-AG-212-J23 sp035251315	1.9467555555555556	2.321195238095238	0.2536766418746454	0.5820958642354079	0.7992268612121077	0.10582010582010581	negligible
Cupriavidus sp000426345	0.1319111111111111	0.1115761904761904	-0.2395599821206337	0.5931823227810671	0.8000712809257892	-0.07671957671957672	negligible
DATBJG01 sp963790545	0.1092611111111111	0.0714142857142857	-0.6065778029125174	0.5937695063368141	0.8000712809257892	-0.06084656084656084	negligible
TA-21 sp036554685	2.310927777777778	2.2489238095238093	-0.0392201827983238	0.600019386004449	0.8000712809257892	-0.10052910052910052	negligible
TH1177 sp036376955	0.6667944444444445	0.947295238095238	0.5059322001314899	0.6012096330656219	0.8000712809257892	0.10052910052910052	negligible
Pseudolabrys sp040512415	0.4412055555555556	0.4414142857142857	0.000680821198946	0.6198444324679601	0.813810953056401	0.07142857142857142	negligible
TA-21 sp014381105	0.0127	0.0267714285714285	1.0194254985876503	0.6257709406966916	0.813810953056401	0.04497354497354497	negligible
Nocardioides sp042730435	0.0141666666666666	0.0348380952380952	1.2405899169242185	0.6257709406966916	0.813810953056401	0.04497354497354497	negligible
DATBVX01 sp035455565	2.644405555555556	2.3329714285714287	-0.1807020122319233	0.6305380218215626	0.813810953056401	-0.09259259259259259	negligible
Methyloceanibacter sp052039105	0.5027277777777778	0.4174761904761905	-0.2674987479058865	0.6350547899573072	0.813810953056401	-0.0873015873015873	negligible
DATEDA01 sp963762785	5.888755555555555	4.897590476190477	-0.2658410717838565	0.661793343327508	0.8333599944090108	-0.08465608465608465	negligible
TH1177 sp963695855	0.0157444444444444	0.0260761904761904	0.6933422607432557	0.6695782614037716	0.8333599944090108	0.03968253968253968	negligible
DATBSL01 sp963744315	0.0957722222222222	0.1584428571428571	0.7203745712645537	0.6695782614037716	0.8333599944090108	0.03968253968253968	negligible
Streptomyces nanshensis_A	0.0197999999999999	0.0475666666666666	1.2233829432022645	0.6695782614037716	0.8333599944090108	0.03968253968253968	negligible
