feature	pre	drought	log2FC	p	cliffs_delta	q_BH
AA37128	0.0235	0.02	-0.2241	0.8874	-0.0176	0.9708
AA38964	0.0235	0.02	-0.2241	0.8874	-0.0176	0.9708
AA67636	0.0235	0.02	-0.2241	0.8874	-0.0176	0.9708
PL20287	0.0235	0.02	-0.2241	0.8874	-0.0176	0.9708
PL11774	0.0235	0.02	-0.2241	0.8874	-0.0176	0.9708
AA2139160	0.0235	0.02	-0.2241	0.8874	-0.0176	0.9708
PL12738	0.0235	0.02	-0.2241	0.8874	-0.0176	0.9708
GH68456	0.0439	0.044	0.0013	0.8876	-0.0176	0.9708
GH164	0.0471	0.03	-0.6324	0.8876	-0.0176	0.9708
CE84474	0.4087	0.3181	-0.3603	0.8887	-0.0294	0.9708
AA33085	0.0941	0.1081	0.198	0.8891	0.0265	0.9708
GH50144	0.4557	0.4789	0.0713	0.8892	0.0294	0.9708
PL12739	0.5616	0.5658	0.0108	0.8894	0.0294	0.9708
GT65169	0.1145	0.11	-0.0578	0.8898	0.0265	0.9708
CBM20	60.6633	60.9276	0.0063	0.8909	0.0294	0.9708
GT84	403.3707	400.8804	-0.0089	0.8909	0.0294	0.9708
GH189	402.2649	399.702	-0.0092	0.8909	0.0294	0.9708
GH94	471.465	467.1959	-0.0131	0.8909	0.0294	0.9708
GH176	156.9762	159.27	0.0209	0.8909	0.0294	0.9708
PL10505	0.1294	0.13	0.0066	0.894	0.0265	0.9708
PL22803	0.1969	0.154	-0.3525	0.8959	-0.0265	0.9708
CE00403	0.0588	0.0681	0.2081	0.8987	-0.0206	0.9708
AA17	1.6675	1.6293	-0.0334	0.9026	-0.0265	0.9708
GT62	12.0729	12.0734	0.0001	0.9028	0.0265	0.9708
CBM56	24.815	24.7633	-0.003	0.9029	-0.0265	0.9708
CBM73	24.2734	24.1357	-0.0082	0.9029	0.0265	0.9708
GT50	97.6045	97.2633	-0.0051	0.903	0.0265	0.9708
GT84334	0.0353	0.0762	1.0891	0.9052	-0.0176	0.9708
AA37852	0.0353	0.04	0.1759	0.9052	-0.0176	0.9708
CE94786	0.0353	0.04	0.1759	0.9052	-0.0176	0.9708
CE04206	0.0353	0.04	0.1759	0.9052	-0.0176	0.9708
PL12984	0.0353	0.05	0.4908	0.9052	-0.0176	0.9708
PL19113	0.0353	0.04	0.1759	0.9052	-0.0176	0.9708
GH35573	0.0353	0.044	0.3097	0.9052	-0.0176	0.9708
PL20017	0.0353	0.03	-0.2273	0.9052	-0.0176	0.9708
CE77970	0.0471	0.0496	0.0748	0.9055	-0.0176	0.9708
AA36459	0.0235	0.01	-1.157	0.9072	-0.0118	0.9708
PL20888	0.0235	0.01	-1.157	0.9072	-0.0118	0.9708
AA35027	0.0322	0.024	-0.4093	0.9072	-0.0118	0.9708
PL08013	0.0235	0.01	-1.1567	0.9072	-0.0118	0.9708
GT72311	0.0322	0.01	-1.5929	0.9072	-0.0118	0.9708
GH98412	0.0118	0.01	-0.215	0.9072	-0.0118	0.9708
GT11324	0.0118	0.01	-0.215	0.9072	-0.0118	0.9708
GT27258	0.0118	0.01	-0.215	0.9072	-0.0118	0.9708
AA82256	0.0118	0.01	-0.215	0.9072	-0.0118	0.9708
