	Acaulospora	Ambispora	Cetraspora	Dentiscutata	Diversispora	Entrophospora	Funneliformis	Geosiphon	Gigaspora	Glomus	Oehlia	Pacispora	Paraglomus	Racocetra	Rhizophagus	Scutellospora
SRR24888309	0.061430611076705124	0.09428739084343137	0.016694120262066427	0.019226374459121447	0.049800999208748725	0.10588574031389325	0.08100087190826613	0.05664746426004563	0.045549313149495854	0.060586526344353436	0.557564859314522	0.0	0.13083313351450937	0.039015472073144014	4.504442542995958	0.007471713001187035
SRR24888310	0.06108130168229591	0.092585760045058	0.017047345538550043	0.02060138577450217	0.04933489751262362	0.10972346253875938	0.06767735940834266	0.059695828369975584	0.04514835859061221	0.048762636796665225	0.5396117361637148	0.0	0.13710161994961093	0.0397269412815327	4.643624639136911	0.007770698143013977
SRR24888329	2.778148183973858	0.09325081937749587	0.015592659915543317	0.018888173165795136	0.05141610950624363	0.10438843360288394	0.06969400244051065	0.05638989339319776	0.04494713905204561	0.05391825845550889	0.5388469304277486	0.0	0.1356958094802762	0.04024798126927914	4.503501940538566	0.008482895218240787
SRR24888330	0.06233366861051376	0.09085441174699693	0.012454057836264314	0.01603499558562276	0.06233366861051376	0.09617828379914045	0.07836866419613651	0.0534288588090118	0.03920017695536631	0.04810498675686827	0.5611297763530082	0.0	0.119343465168884	0.042749424990128654	4.672458278906248	0.012454057836264314
SRR24888351	0.06190309213575288	0.09209163117301714	0.017117896860690505	0.02063436404525096	0.04830166245962282	0.10920952803370765	0.07749497493521904	0.06289831869742094	0.04879927574045685	0.06591717260114735	0.6069223315239007	0.0	0.1414216944130303	0.0478040491787888	4.598212108656181	0.004544867964950774
SRR24888352	0.06365076816223401	0.10227975512188767	0.017186352295071292	0.02382873235658102	0.055686361001103406	0.11227556977755765	0.08103058783773763	0.054783513225752575	0.04672237237440581	0.06529524089590874	0.5942028144344723	0.0	0.14110220946197366	0.039693057552031445	4.873604535907224	0.009415412514373014
SRR24888478	4.662730116847643	0.09558515083881174	0.01565867295148373	0.019853532167525386	0.05642245754706408	0.11700775248409316	0.08565838475504904	0.048577110158283886	0.050658528853266396	0.04752038989775431	0.602234483023629	0.0	0.12273965935181422	0.05014617963603992	4.801640798368168	0.015146323734257271
SRR24888482	0.056641999250352855	0.09125489377906452	0.016230398729784483	0.0199965686007842	0.04991669590928194	0.09845844091327825	0.07744560425206556	0.052009012504281776	0.0438489777837824	0.05048461041363904	0.4973735448685337	0.0	0.13322078662734704	0.03269991935614038	4.520838576579086	0.00857849803949935
SRR24888489	0.13731501482945419	0.08939661399330788	0.016114654632878096	0.017675052528667346	0.04763469212782098	0.1032983407012485	0.06689851342311011	0.04913834828194518	0.04258467711963032	0.049762507440260874	0.4788719287823053	0.0	0.125143911242298	0.03532173418650216	4.8277292352177845	0.009021936924745129
SRR24888613	0.08783708214049361	0.07319241913149116	0.018290380804492513	0.009145190402246256	0.06587008762698994	0.11712640815849854	0.07869189173824734	0.04025737531799619	0.04390309311348625	0.05307917942925361	0.537990542142953	0.0	0.12077212595398858	0.020113239702237544	4.453893101375054	0.009145190402246256
SRR24888614	0.0526207970897041	0.09378883245988438	0.012803455976371855	0.013253687395321196	0.059008455346047865	0.0997262592972788	0.067703549624507	0.05352125992760279	0.035680839951735197	0.048962666810740726	0.4991096673690277	0.0	0.1239824769931745	0.025156680533794374	4.519085309849262	0.00593742683739442
SRR24888615	1.5325471019143124	0.08385924009384885	0.014978841690069947	0.018960206674605264	0.04579961817874547	0.09733462927227608	0.06812867214795754	0.0481661637989238	0.04109436865156737	0.04727522897720961	0.46698905514413236	0.0	0.12055461806320235	0.033410055814282406	4.3646618498646745	0.008519564232642015
SRR24888635	0.06042466454240401	0.08973837359733436	0.01639212694509319	0.018158386370178848	0.04775097849222799	0.1050149682739524	0.06972076677969692	0.05679918466985976	0.044993134828497754	0.05261593866307796	0.5630029384979172	0.0	0.1345145993736286	0.04115074590375001	4.580034637276936	0.007808725879326057
SRR24888648	0.06050731228891648	0.09333154052408031	0.015697221287622375	0.018283003864071796	0.04693955900542892	0.10528698231872294	0.07027244413644901	0.05783026679800413	0.04633113957567612	0.0534192259322963	0.5659517535560593	0.0	0.13312217122991377	0.04021652430666042	4.2901479250159555	0.006662192755793218
